Dataset_MB,Cores,Strategy,Time_Serial_s,Time_Parallel_s,Speedup,Efficiency,Notes
100,1,Centralized,1.674857,1.748179,0.958,0.958,Overhead MPI initialization
100,2,Centralized,1.674857,0.935043,1.791,0.896,Good scaling
100,2,Distributed,1.674857,1.745307,0.960,0.480,Network bottleneck
100,4,Centralized,1.674857,0.512416,3.269,0.817,Sweet Spot (Max efficiency)
100,4,Distributed,1.674857,1.768010,0.947,0.237,Network slower than Serial
100,6,Centralized,1.674857,0.933688,1.794,0.299,Degradation (Inter-node comms)
100,6,Distributed,1.674857,1.496811,1.119,0.186,Severe saturation
100,8,Centralized,1.674857,1.225049,1.367,0.171,
100,8,Distributed,1.674857,1.681092,0.996,0.125,
100,10,Centralized,1.674857,1.293277,1.295,0.130,
100,10,Distributed,1.674857,1.439574,1.163,0.116,
100,14,Centralized,1.674857,1.422827,1.177,0.084,
100,14,Distributed,1.674857,1.457478,1.149,0.082,
100,16,Centralized,1.674857,1.540420,1.087,0.068,Full Cluster Saturation
100,16,Distributed,1.674857,1.582671,1.058,0.066,Full Cluster Saturation
256,1,Centralized,4.335277,4.342694,0.998,0.998,
256,2,Centralized,4.335277,2.376693,1.824,0.912,
256,2,Distributed,4.335277,4.503564,0.963,0.481,
256,4,Centralized,4.335277,1.303197,3.327,0.832,Sweet Spot
256,4,Distributed,4.335277,4.552394,0.952,0.238,
256,6,Centralized,4.335277,2.376509,1.824,0.304,Jump to Node 2 penalty
256,6,Distributed,4.335277,3.829432,1.132,0.189,
256,8,Centralized,4.335277,3.115715,1.391,0.174,
256,8,Distributed,4.335277,4.292296,1.010,0.126,
256,10,Centralized,4.335277,3.285762,1.319,0.132,
256,10,Distributed,4.335277,3.761002,1.153,0.115,
256,14,Centralized,4.335277,3.649867,1.188,0.085,
256,14,Distributed,4.335277,3.663978,1.183,0.085,
256,16,Centralized,4.335277,3.818189,1.135,0.071,
256,16,Distributed,4.335277,4.085358,1.061,0.066,
512,1,Centralized,8.395264,9.012011,0.932,0.932,
512,2,Centralized,8.395264,4.737885,1.772,0.886,
512,2,Distributed,8.395264,9.070189,0.926,0.463,
512,4,Centralized,8.395264,2.562484,3.276,0.819,Sweet Spot
512,4,Distributed,8.395264,9.101832,0.922,0.231,
512,6,Centralized,8.395264,4.759370,1.764,0.294,
512,6,Distributed,8.395264,7.654040,1.097,0.183,
512,8,Centralized,8.395264,6.189162,1.356,0.170,
512,8,Distributed,8.395264,8.718252,0.963,0.120,
512,10,Centralized,8.395264,6.589138,1.274,0.127,
512,10,Distributed,8.395264,7.515372,1.117,0.112,
512,14,Centralized,8.395264,7.362473,1.140,0.081,
512,14,Distributed,8.395264,7.379862,1.138,0.081,
512,16,Centralized,8.395264,7.747186,1.084,0.068,
512,16,Distributed,8.395264,8.327398,1.008,0.063,
1024,1,Centralized,17.024557,18.719797,0.909,0.909,
1024,2,Centralized,17.024557,9.557140,1.781,0.891,
1024,2,Distributed,17.024557,17.958589,0.948,0.474,
1024,4,Centralized,17.024557,5.121608,3.324,0.831,Sweet Spot
1024,4,Distributed,17.024557,18.462446,0.922,0.231,
1024,6,Centralized,17.024557,9.705715,1.754,0.292,
1024,6,Distributed,17.024557,15.433734,1.103,0.184,
1024,8,Centralized,17.024557,12.662855,1.344,0.168,
1024,8,Distributed,17.024557,18.414510,0.925,0.116,
1024,10,Centralized,17.024557,13.368164,1.274,0.127,
1024,10,Distributed,17.024557,15.213769,1.119,0.112,
1024,14,Centralized,17.024557,14.767596,1.153,0.082,
1024,14,Distributed,17.024557,15.117476,1.126,0.080,
1024,16,Centralized,17.024557,15.719161,1.083,0.068,
1024,16,Distributed,17.024557,17.575548,0.969,0.061,